,Feature,Data Type,Unique Values,Description
0,hotel,object,['Resort Hotel' 'City Hotel'],"Top 3 Values: ['City Hotel', 'Resort Hotel']"
1,is_canceled,object,['no' 'yes'],"Top 3 Values: ['no', 'yes']"
2,lead_time,int64,479 unique values,"Min: 0, Max: 737, Mean: 104.01, Std: 106.86"
3,arrival_date_year,int64,[2015 2016 2017],"Min: 2015, Max: 2017, Mean: 2016.16, Std: 0.71"
4,arrival_date_month,object,12 unique values,"Top 3 Values: ['August', 'July', 'May']"
5,arrival_date_week_number,int64,53 unique values,"Min: 1, Max: 53, Mean: 27.17, Std: 13.61"
6,arrival_date_day_of_month,int64,31 unique values,"Min: 1, Max: 31, Mean: 15.80, Std: 8.78"
7,stays_in_weekend_nights,int64,17 unique values,"Min: 0, Max: 19, Mean: 0.93, Std: 1.00"
8,stays_in_week_nights,int64,35 unique values,"Min: 0, Max: 50, Mean: 2.50, Std: 1.91"
9,adults,int64,14 unique values,"Min: 0, Max: 55, Mean: 1.86, Std: 0.58"
10,children,float64,[ 0.  1.  2. 10.  3. nan],"Min: 0.0, Max: 10.0, Mean: 0.10, Std: 0.40"
11,babies,int64,[ 0  1  2 10  9],"Min: 0, Max: 10, Mean: 0.01, Std: 0.10"
12,meal,object,['BB' 'FB' 'HB' 'SC' 'Undefined'],"Top 3 Values: ['BB', 'HB', 'SC']"
13,country,object,177 unique values,"Top 3 Values: ['PRT', 'GBR', 'FRA']"
14,market_segment,object,"['Direct' 'Corporate' 'Online TA' 'Offline TA/TO' 'Complementary' 'Groups'
 'Undefined' 'Aviation']","Top 3 Values: ['Online TA', 'Offline TA/TO', 'Groups']"
15,distribution_channel,object,['Direct' 'Corporate' 'TA/TO' 'Undefined' 'GDS'],"Top 3 Values: ['TA/TO', 'Direct', 'Corporate']"
16,is_repeated_guest,int64,[0 1],"Min: 0, Max: 1, Mean: 0.03, Std: 0.18"
17,previous_cancellations,int64,15 unique values,"Min: 0, Max: 26, Mean: 0.09, Std: 0.84"
18,previous_bookings_not_canceled,int64,73 unique values,"Min: 0, Max: 72, Mean: 0.14, Std: 1.50"
19,reserved_room_type,object,['C' 'A' 'D' 'E' 'G' 'F' 'H' 'L' 'P' 'B'],"Top 3 Values: ['A', 'D', 'E']"
20,assigned_room_type,object,12 unique values,"Top 3 Values: ['A', 'D', 'E']"
21,booking_changes,int64,21 unique values,"Min: 0, Max: 21, Mean: 0.22, Std: 0.65"
22,deposit_type,object,['No Deposit' 'Refundable' 'Non Refund'],"Top 3 Values: ['No Deposit', 'Non Refund', 'Refundable']"
23,agent,float64,333 unique values,"Min: 1.0, Max: 535.0, Mean: 86.69, Std: 110.77"
24,company,float64,352 unique values,"Min: 6.0, Max: 543.0, Mean: 189.27, Std: 131.66"
25,days_in_waiting_list,int64,128 unique values,"Min: 0, Max: 391, Mean: 2.32, Std: 17.59"
26,customer_type,object,['Transient' 'Contract' 'Transient-Party' 'Group'],"Top 3 Values: ['Transient', 'Transient-Party', 'Contract']"
27,adr,float64,8879 unique values,"Min: -6.38, Max: 5400.0, Mean: 101.83, Std: 50.54"
28,required_car_parking_spaces,int64,[0 1 2 8 3],"Min: 0, Max: 8, Mean: 0.06, Std: 0.25"
29,total_of_special_requests,int64,[0 1 3 2 4 5],"Min: 0, Max: 5, Mean: 0.57, Std: 0.79"
30,reservation_status,object,['Check-Out' 'Canceled' 'No-Show'],"Top 3 Values: ['Check-Out', 'Canceled', 'No-Show']"
31,reservation_status_date,object,926 unique values,"Top 3 Values: ['10/21/2015', '7/6/2015', '11/25/2016']"
